Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,97.409,-75.5165,270,bottom
C2,22pF,C_0805_2012Metric,90.932,-73.914,45,bottom
C3,1uF,C_0805_2012Metric,80.9625,-77.7875,135,bottom
C4,0.1uF,C_0805_2012Metric,86.51875,-73.025,45,bottom
C5,0.1uF,C_0805_2012Metric,95.25,-88.9,45,bottom
C6,0.1uF,C_0805_2012Metric,83.693,-94.742,135,bottom
C7,10uF,C_0805_2012Metric,77.7875,-88.9,315,bottom
D1,SOD-123,D_SOD-123,35.71875,-52.3875,90,bottom
D2,SOD-123,D_SOD-123,54.76875,-52.3875,90,bottom
D3,SOD-123,D_SOD-123,73.81875,-52.3875,90,bottom
D4,SOD-123,D_SOD-123,102.39375,-52.3875,90,bottom
D5,SOD-123,D_SOD-123,121.44375,-52.3875,90,bottom
D6,SOD-123,D_SOD-123,140.49375,-52.3875,90,bottom
D7,SOD-123,D_SOD-123,159.54375,-52.3875,90,bottom
D8,SOD-123,D_SOD-123,178.59375,-52.3875,90,bottom
D9,SOD-123,D_SOD-123,197.64375,-52.3875,90,bottom
D10,SOD-123,D_SOD-123,216.69375,-52.3875,90,bottom
D11,SOD-123,D_SOD-123,235.74375,-52.3875,90,bottom
D12,SOD-123,D_SOD-123,254.79375,-52.3875,90,bottom
D13,SOD-123,D_SOD-123,273.84375,-52.3875,90,bottom
D14,SOD-123,D_SOD-123,292.89375,-52.3875,90,bottom
D15,SOD-123,D_SOD-123,316.70625,-52.3875,90,bottom
D16,SOD-123,D_SOD-123,35.71875,-71.4375,90,bottom
D17,SOD-123,D_SOD-123,54.76875,-71.4375,90,bottom
D18,SOD-123,D_SOD-123,73.81875,-71.4375,90,bottom
D19,SOD-123,D_SOD-123,104.775,-71.4375,90,bottom
D20,SOD-123,D_SOD-123,126.20625,-71.4375,90,bottom
D21,SOD-123,D_SOD-123,145.25625,-71.4375,90,bottom
D22,SOD-123,D_SOD-123,164.30625,-71.4375,90,bottom
D23,SOD-123,D_SOD-123,183.35625,-71.4375,90,bottom
D24,SOD-123,D_SOD-123,202.40625,-71.4375,90,bottom
D25,SOD-123,D_SOD-123,221.45625,-71.4375,90,bottom
D26,SOD-123,D_SOD-123,240.50625,-71.4375,90,bottom
D27,SOD-123,D_SOD-123,259.55625,-71.4375,90,bottom
D28,SOD-123,D_SOD-123,278.60625,-71.4375,90,bottom
D29,SOD-123,D_SOD-123,297.65625,-71.4375,90,bottom
D30,SOD-123,D_SOD-123,319.0875,-71.4375,90,bottom
D31,SOD-123,D_SOD-123,35.71875,-90.4875,90,bottom
D32,SOD-123,D_SOD-123,54.76875,-90.4875,90,bottom
D33,SOD-123,D_SOD-123,73.81875,-90.4875,90,bottom
D34,SOD-123,D_SOD-123,107.15625,-90.4875,90,bottom
D35,SOD-123,D_SOD-123,130.96875,-90.4875,90,bottom
D36,SOD-123,D_SOD-123,150.01875,-90.4875,90,bottom
D37,SOD-123,D_SOD-123,169.06875,-90.4875,90,bottom
D38,SOD-123,D_SOD-123,188.11875,-90.4875,90,bottom
D39,SOD-123,D_SOD-123,207.16875,-90.4875,90,bottom
D40,SOD-123,D_SOD-123,226.21875,-90.4875,90,bottom
D41,SOD-123,D_SOD-123,245.26875,-90.4875,90,bottom
D42,SOD-123,D_SOD-123,264.31875,-90.4875,90,bottom
D43,SOD-123,D_SOD-123,283.36875,-90.4875,90,bottom
D44,SOD-123,D_SOD-123,302.41875,-90.4875,90,bottom
D45,SOD-123,D_SOD-123,321.46875,-90.4875,90,bottom
D46,SOD-123,D_SOD-123,35.71875,-109.5375,90,bottom
D47,SOD-123,D_SOD-123,54.76875,-109.5375,90,bottom
D48,SOD-123,D_SOD-123,73.81875,-109.5375,90,bottom
D49,SOD-123,D_SOD-123,102.39375,-109.5375,90,bottom
D50,SOD-123,D_SOD-123,121.44375,-109.5375,90,bottom
D51,SOD-123,D_SOD-123,140.49375,-109.5375,90,bottom
D52,SOD-123,D_SOD-123,159.54375,-109.5375,90,bottom
D53,SOD-123,D_SOD-123,180.975,-109.5375,90,bottom
D54,SOD-123,D_SOD-123,211.93125,-109.5375,90,bottom
D55,SOD-123,D_SOD-123,242.8875,-109.5375,90,bottom
D56,SOD-123,D_SOD-123,264.31875,-109.5375,90,bottom
D57,SOD-123,D_SOD-123,283.36875,-109.5375,90,bottom
D58,SOD-123,D_SOD-123,302.41875,-109.5375,90,bottom
D59,SOD-123,D_SOD-123,321.46875,-109.5375,90,bottom
F1,500mA,Fuse_1206_3216Metric,79.756,-58.293,0,bottom
R1,10k,R_0805_2012Metric,83.466913,-76.069163,225,bottom
R2,22,R_0805_2012Metric,87.3125,-53.975,90,bottom
R3,22,R_0805_2012Metric,80.9625,-53.975,90,bottom
R4,10k,R_0805_2012Metric,88.9,-95.25,45,bottom
R5,5.1k,R_0805_2012Metric,78.58125,-53.975,90,bottom
R6,5.1k,R_0805_2012Metric,89.69375,-53.975,90,bottom
SW1,SW_Push,SKQG-1155865,97.028,-59.237,0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,86.51875,-85.725,225,bottom
U2,SRV05-4,SOT-23-6,84.1375,-51.435,90,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,84.1375,-36.5125,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,93.853,-76.454,180,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,86.51875,85.725,315,bottom
U2,SRV05-4,SOT-23-6,84.1375,51.435,270,bottom
